回合,分数,平均分数
241,-1.0,-0.37
242,-1.0,-0.39
243,-1.0,-0.39
244,-1.0,-0.41
245,-1.0,-0.43
246,1.0,-0.41
247,-1.0,-0.43
248,-1.0,-0.43
249,-1.0,-0.43
250,-1.0,-0.44
251,-1.0,-0.46
252,-1.0,-0.46
253,1.0,-0.44
254,-1.0,-0.46
255,-1.0,-0.46
256,-1.0,-0.46
257,-1.0,-0.46
258,-1.0,-0.46
259,-1.0,-0.46
260,-1.0,-0.46
261,-1.0,-0.46
262,-1.0,-0.46
263,-1.0,-0.46
264,-1.0,-0.46
265,-1.0,-0.46
266,-1.0,-0.46
267,1.0,-0.46
268,1.0,-0.44
269,-1.0,-0.44
270,-1.0,-0.44
271,1.0,-0.42
272,1.0,-0.4
273,-1.0,-0.4
274,-1.0,-0.4
275,1.0,-0.39
276,-1.0,-0.4
277,-1.0,-0.4
278,-1.0,-0.4
279,-1.0,-0.4
280,-1.0,-0.4
281,1.0,-0.38
282,-1.0,-0.38
283,-1.0,-0.38
284,-1.0,-0.4
285,1.0,-0.4
286,1.0,-0.38
287,-1.0,-0.38
288,-1.0,-0.38
289,-1.0,-0.4
290,1.0,-0.38
291,1.0,-0.38
292,-1.0,-0.38
293,-1.0,-0.4
294,1.0,-0.38
295,-1.0,-0.4
296,1.0,-0.38
297,-1.0,-0.38
298,-1.0,-0.38
299,-1.0,-0.38
300,-1.0,-0.4
301,-1.0,-0.4
302,1.0,-0.39
303,1.0,-0.37
304,1.0,-0.35
305,1.0,-0.33
306,-1.0,-0.35
307,1.0,-0.34
308,1.0,-0.34
309,1.0,-0.34
310,-1.0,-0.34
311,1.0,-0.34
312,-1.0,-0.34
313,-1.0,-0.34
314,0.0,-0.35
315,1.0,-0.33
316,-1.0,-0.35
317,-1.0,-0.37
318,0.0,-0.36
319,1.0,-0.34
320,-1.0,-0.34
321,-1.0,-0.36
322,-1.0,-0.38
323,-1.0,-0.4
324,-1.0,-0.4
325,1.0,-0.38
326,1.0,-0.36
327,-1.0,-0.38
328,1.0,-0.36
329,1.0,-0.34
330,-1.0,-0.34
331,-1.0,-0.34
332,1.0,-0.32
333,-1.0,-0.34
334,1.0,-0.32
335,1.0,-0.32
336,-1.0,-0.32
337,-1.0,-0.32
338,1.0,-0.32
339,-1.0,-0.34
340,-1.0,-0.34
341,-1.0,-0.34
342,-1.0,-0.34
343,1.0,-0.32
344,-1.0,-0.32
345,-1.0,-0.32
346,-1.0,-0.34
347,-1.0,-0.34
348,-1.0,-0.34
349,1.0,-0.32
350,1.0,-0.3
351,1.0,-0.28
352,-1.0,-0.28
353,-1.0,-0.3
354,1.0,-0.28
355,1.0,-0.26
356,-1.0,-0.26
357,1.0,-0.24
358,1.0,-0.22
